ord-20260506-220240,p-j-101,1ord-20260506-220240,p-j-102,2ord-20260506-220244,p-j-105,2ord-20260506-221017,p-j-101,1
ord-20260506-221017,p-j-102,2
ord-20260506-221020,p-j-105,2
ord-20260513-140802,p-j-101,1
ord-20260513-140802,p-j-102,2
ord-20260513-140802,p-j-106,2
ord-20260513-140802,p-j-105,1
ord-20260513-140819,p-j-102,1
ord-20260513-140819,p-j-106,1
ord-20260513-140819,p-j-107,1
ord-20260513-143523,p-j-101,1
ord-20260513-143523,p-j-102,2
ord-20260513-143523,p-j-104,1
ord-20260513-143523,p-j-105,1
ord-20260513-143523,p-j-106,3
ord-20260515-200845,p-c-102,1
ord-20260515-200845,p-c-104,1
ord-20260515-200845,p-c-103,1
ord-20260515-200845,p-t-101,1
ord-20260515-200929,p-c-102,2
ord-20260515-204214,p-d-101,1
ord-20260515-204214,p-d-103,1
ord-20260515-204242,p-c-103,1
ord-20260515-204242,p-c-102,1
ord-20260516-000513,p-c-103,1
ord-20260516-000513,p-c-102,1
ord-20260516-000513,p-d-103,1
ord-20260516-000513,p-d-101,1
ord-20260516-003506,p-d-102,1
ord-20260516-003506,p-d-103,1
ord-20260516-003506,p-d-101,1
ord-20260516-004342,p-c-102-冰-正常糖,1
ord-20260516-004342,p-c-103-冰-無糖,1
ord-20260516-004342,p-d-102,1
ord-20260516-004342,p-d-103,1
ord-20260516-014500,p-c-102-熱-微糖,1
ord-20260516-014500,p-d-102,1
ord-20260516-014500,p-t-101-冰-正常糖,1
ord-20260516-014500,p-d-103,1
ord-20260516-014500,p-c-103-冰-半糖,1
ord-20260516-014540,p-c-102-冰-正常糖,3
ord-20260516-014540,p-d-101,1
ord-20260516-014540,p-d-102,1
